key,matched_rule,notes,raw_text,scenario_id,source,source_weight,step,strength,supports_forward
SC01_step_01,ambiguous,ambiguous_direction_manual_review,The call log shows the witness dialed emergency services at 9:12 PM.,SC01,factual,1.3,1,0.5,
SC01_step_02,ambiguous,ambiguous_direction_manual_review,Security footage timestamps the suspect leaving at 9:17 PM.,SC01,scientific,1.45,2,0.5,
SC01_step_03,lexical_forward_fallback,,The witness stated she called before seeing anyone leave.,SC01,testimony,1.0,3,0.55,True
SC01_step_04,lexical_forward_fallback,,There is no evidence suggesting the suspect fled before the call.,SC01,inference,0.9,4,0.55,True
SC01_step_05,lexical_forward_fallback,,"Therefore, the report clearly preceded the escape.",SC01,inference,0.9,5,0.66,True
SC02_step_01,lexical_forward_fallback,,Diplomatic records suggest the treaty draft was finalized first.,SC02,factual,1.3,1,0.55,True
SC02_step_02,ambiguous,ambiguous_direction_manual_review,The signing ceremony is documented as occurring on Day 3 of negotiations.,SC02,factual,1.3,2,0.55,
SC02_step_03,timestamp_near_event_b,,"However, a ceasefire order was radioed to field commanders on Day 2.",SC02,general,0.8,3,0.62,False
SC02_step_04,event_order_before,,The ceasefire took effect before the treaty was publicly ratified.,SC02,general,0.8,4,0.8,False
SC02_step_05,lexical_backward_fallback,,Formal signing may have post-dated the operational ceasefire.,SC02,speculative,0.6,5,0.385,False
SC03_step_01,ambiguous,ambiguous_direction_manual_review,The royal chronicle records the king's death on the 14th.,SC03,factual,1.3,1,0.5,
SC03_step_02,ambiguous,ambiguous_direction_manual_review,A rebel pamphlet dated the 12th suggests the uprising had already started.,SC03,inference,0.9,2,0.4,
SC03_step_03,ambiguous,ambiguous_direction_manual_review,Court records confirm the king was present at council on the 13th.,SC03,factual,1.3,3,0.5,
SC03_step_04,lexical_backward_fallback,,Some historians argue the pamphlet was post-dated as propaganda.,SC03,testimony,1.0,4,0.55,False
SC03_step_05,lexical_forward_fallback,,The consensus in modern historiography places the death first.,SC03,academic,1.3,5,0.55,True
SC04_step_01,symbolic_a_before_b,,"Initial assumption: alarm triggers evacuation, so A before B.",SC04,assumption,0.5,1,0.7,True
SC04_step_02,event_order_before,,Staff interviews reveal the building manager ordered evacuation before the alarm sounded.,SC04,testimony,1.0,2,0.8,False
SC04_step_03,ambiguous,ambiguous_direction_manual_review,The alarm system log shows a 4-minute delay from when smoke was detected.,SC04,factual,1.3,3,0.5,
SC04_step_04,ambiguous,ambiguous_direction_manual_review,Evacuation logs confirm staff were already exiting when the alarm activated.,SC04,factual,1.3,4,0.5,
SC04_step_05,event_order_before,,All evidence consistently places evacuation before the alarm.,SC04,inference,0.9,5,0.8,False
SC05_step_01,ambiguous,ambiguous_direction_manual_review,Patent filing records show the application was submitted in Q2.,SC05,factual,1.3,1,0.5,
SC05_step_02,timestamp_near_event_b,,The competitor's product was demonstrated at a conference in Q1.,SC05,general,0.8,2,0.62,False
SC05_step_03,ip_prior_art,,"However, the patent was provisionally filed in Q4 of the prior year.",SC05,general,0.8,3,0.7,True
SC05_step_04,ambiguous,ambiguous_direction_manual_review,"The product demo used a different algorithmic approach, making comparison uncertain.",SC05,general,0.8,4,0.325,
SC05_step_05,ip_prior_art,,Legal filings in the subsequent dispute place the patent as prior art.,SC05,factual,1.3,5,0.7,True
SC05_step_06,ip_public_disclosure,,"The opposing counsel contested this, citing the Q1 demo as public disclosure.",SC05,legal,1.3,6,0.7,False
SC06_step_01,timestamp_near_event_a,,The patient's chart shows a formal diagnosis on March 3rd.,SC06,general,0.8,1,0.62,True
SC06_step_02,lexical_forward_fallback,,The first symptom entry in the records is dated February 28th.,SC06,factual,1.3,2,0.55,True
SC06_step_03,event_order_before,,Symptoms clearly preceded the formal diagnosis by several days.,SC06,general,0.8,3,0.95,False
SC06_step_04,ambiguous,ambiguous_direction_manual_review,A retrospective note suggests early signs may have been missed initially.,SC06,inference,0.9,4,0.35,
SC06_step_05,ambiguous,ambiguous_direction_manual_review,The diagnosis date is administrative and may not reflect actual clinical recognition.,SC06,general,0.8,5,0.5,
SC07_step_01,event_order_before,,The Codex of Origins states the Rift preceded all Sentinel records.,SC07,factual,1.3,1,0.8,True
SC07_step_02,event_order_after,,Sentinel creation rituals explicitly reference the world after the Rift.,SC07,inference,0.9,2,0.88,True
SC07_step_03,event_order_before,,No Sentinel lineage predates the Rift opening in any official lore.,SC07,factual,1.3,3,0.8,False
SC07_step_04,ambiguous,ambiguous_direction_manual_review,"Fan wikis speculate a proto-Sentinel existed, but this is unconfirmed.",SC07,speculative,0.6,4,0.275,
SC07_step_05,ambiguous,ambiguous_direction_manual_review,Official sources unanimously place the Rift as the originating event.,SC07,factual,1.3,5,0.5,
SC08_step_01,event_order_before,,The manuscript's colophon claims it was written before any formal library existed.,SC08,testimony,1.0,1,0.8,True
SC08_step_02,event_order_after,,Radiocarbon dating places the manuscript's vellum at 50 years after the library's founding charter.,SC08,scientific,1.45,2,0.8,False
SC08_step_03,ambiguous,ambiguous_direction_manual_review,The library's founding records reference the manuscript as an existing acquisition.,SC08,factual,1.3,3,0.5,
SC08_step_04,lexical_backward_fallback,,The colophon may have been added later by a scribe attempting to establish provenance.,SC08,testimony,1.0,4,0.385,False
SC08_step_05,lexical_backward_fallback,,Scholarly consensus now dates the manuscript as post-foundation.,SC08,academic,1.3,5,0.55,False
SC09_step_01,timestamp_near_event_a,,HR records show a complaint was filed on October 4th.,SC09,factual,1.3,1,0.62,True
SC09_step_02,audit_preexisting,,The audit committee's minutes reference a pre-existing concern from September.,SC09,factual,1.3,2,0.7,False
SC09_step_03,audit_preexisting,,"The complaint form references an ongoing audit, suggesting it came second.",SC09,inference,0.9,3,0.7,False
SC09_step_04,event_order_after,,"However, the audit scope was formally expanded only after the complaint was reviewed.",SC09,general,0.8,4,0.88,True
SC09_step_05,ambiguous,ambiguous_direction_manual_review,Both processes appear to have been initiated within the same two-week window.,SC09,general,0.8,5,0.5,
SC10_step_01,timestamp_near_event_a,,The species was formally described in a 1987 journal publication.,SC10,academic,1.3,1,0.682,True
SC10_step_02,ambiguous,ambiguous_direction_manual_review,"A protected area was gazetted in 1985 for an adjacent, related species.",SC10,legal,1.3,2,0.5,
SC10_step_03,timestamp_near_event_a,,The 1985 protection order did not include this species by name.,SC10,legal,1.3,3,0.62,True
SC10_step_04,timestamp_near_event_a,,A 1983 field survey note informally documents the species before formal description.,SC10,factual,1.3,4,0.465,True
SC10_step_05,ambiguous,ambiguous_direction_manual_review,Formal taxonomic discovery requires peer-reviewed publication; the 1987 paper is definitive.,SC10,academic,1.3,5,0.6,
SC10_step_06,timestamp_near_event_a,,The protection designation for this specific species was updated in 1990.,SC10,general,0.8,6,0.62,True
