scenario_id,step,model,num_evidence_items,order,confidence,p_forward,verdict,parse_ok,parse_error,raw_response,raw_line_no
SC01,1,exaone-local,1,A_BEFORE_B,0.85,0.85,forward,True,,,1
SC01,2,exaone-local,2,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},2
SC01,3,exaone-local,3,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},3
SC01,4,exaone-local,4,B_BEFORE_A,0.856,0.144,backward,True,,,4
SC01,5,exaone-local,5,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},5
SC02,1,exaone-local,1,,0.5,0.5,ambiguous,False,missing_or_invalid_order,"{""order"": """", ""confidence: "": """"}",6
SC02,2,exaone-local,2,A_BEFORE_B,0.9540000000000001,0.954,forward,True,,,7
SC02,3,exaone-local,3,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},8
SC02,4,exaone-local,4,A_BEFORE_B,0.9570000000000001,0.957,forward,True,,,9
SC02,5,exaone-local,5,B_BEFORE_A,0.5,0.5,backward,True,,,10
SC03,1,exaone-local,1,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},11
SC03,2,exaone-local,2,,0.5,0.5,ambiguous,False,missing_or_invalid_order,"{""order"": """", ""confidence: "": """"}",12
SC03,3,exaone-local,3,B_BEFORE_A,0.953,0.047,backward,True,,,13
SC03,4,exaone-local,4,B_BEFORE_A,0.956,0.044,backward,True,,,14
SC03,5,exaone-local,5,,0.5,0.5,ambiguous,False,missing_or_invalid_order,"{""order"": """", ""confidence"": """"}",15
SC04,1,exaone-local,1,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},16
SC04,2,exaone-local,2,A_BEFORE_B,0.9570000000000001,0.957,forward,True,,,17
SC04,3,exaone-local,3,B_BEFORE_A,0.85,0.15,backward,True,,,18
SC04,4,exaone-local,4,A_BEFORE_B,0.853,0.853,forward,True,,,19
SC04,5,exaone-local,5,B_BEFORE_A,0.956,0.044,backward,True,,,20
SC05,1,exaone-local,1,A_BEFORE_B,0.953,0.953,forward,True,,,21
SC05,2,exaone-local,2,,0.5,0.5,ambiguous,False,missing_or_invalid_order,"{""order"": """", ""confidence"": """"}",22
SC05,3,exaone-local,3,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},23
SC05,4,exaone-local,4,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},24
SC05,5,exaone-local,5,A_BEFORE_B,0.5,0.5,forward,True,,,25
SC05,6,exaone-local,6,B_BEFORE_A,0.9570000000000001,0.043,backward,True,,,26
SC06,1,exaone-local,1,A_BEFORE_B,0.95,0.95,forward,True,,,27
SC06,2,exaone-local,2,A_BEFORE_B,0.9570000000000001,0.957,forward,True,,,28
SC06,3,exaone-local,3,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},29
SC06,4,exaone-local,4,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},30
SC06,5,exaone-local,5,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},31
SC07,1,exaone-local,1,A_BEFORE_B,0.42700000000000005,0.427,forward,True,,,32
SC07,2,exaone-local,2,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},33
SC07,3,exaone-local,3,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},34
SC07,4,exaone-local,4,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},35
SC07,5,exaone-local,5,A_BEFORE_B,0.7559999999999999,0.756,forward,True,,,36
SC08,1,exaone-local,1,A_BEFORE_B,0.85,0.85,forward,True,,,37
SC08,2,exaone-local,2,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},38
SC08,3,exaone-local,3,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},39
SC08,4,exaone-local,4,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},40
SC08,5,exaone-local,5,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},41
SC09,1,exaone-local,1,A_BEFORE_B,0.853,0.853,forward,True,,,42
SC09,2,exaone-local,2,,0.5,0.5,ambiguous,False,missing_or_invalid_order,"{""order"": """", ""confidence"": """"}",43
SC09,3,exaone-local,3,A_BEFORE_B,0.9570000000000001,0.957,forward,True,,,44
SC09,4,exaone-local,4,,0.5,0.5,ambiguous,False,missing_or_invalid_order,"{""order"":"""",""confidence"":""""}",45
SC09,5,exaone-local,5,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},46
SC10,1,exaone-local,1,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},47
SC10,2,exaone-local,2,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},48
SC10,3,exaone-local,3,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},49
SC10,4,exaone-local,4,A_BEFORE_B,0.45799999999999996,0.458,forward,True,,,50
SC10,5,exaone-local,5,,0.5,0.5,ambiguous,False,missing_or_invalid_order,{},51
SC10,6,exaone-local,6,B_BEFORE_A,0.9570000000000001,0.043,backward,True,,,52
